tiktok_id,username,followers,following,likes,videos,average_engagement_rate,is_generated,date
,charlidamelio,5773361,843,111622041,406,19.61,0,2019-11-25+00:04:36
,charlidamelio,5512608,5512608,104924082,403,13.5,0,2019-11-23+22:11:24
,charlidamelio,5115584,843,92454314,392,14.5,0,2019-11-21+09:22:44
,charlidamelio,4736248,843,84200892,388,0,0,2019-11-18+12:30:17
,Charlidamelio,4658114,843,82006795,386,0,0,2019-11-17+20:45:01
,Charlidamelio,4467022,833,77682892,381,0,0,2019-11-16+14:21:20
,Charlidamelio,4275930,824,73358989,377,0,0,2019-11-15+14:21:20
,Charlidamelio,4084838,815,69035086,373,0,0,2019-11-14+14:21:20
,charlidamelio,3938375,3938375,65372466,370,0,0,2019-11-13+19:30:17
,Charlidamelio,3345611,815,52833302,354,0,0,2019-11-10+15:51:24
,charlidamelio,2912136,815,44044678,349,0,0,2019-11-08+14:52:57
,charlidamelio,2745710,815,40703976,343,0,0,2019-11-07+15:07:22
,Charlidamelio,2563529,815,37547778,358,0,0,2019-11-06+07:40:01
,Charlidamelio,2425727,2425727,34939063,355,0,0,2019-11-05+16:37:01
,Charlidamelio,2185549,809,30875939,381,0,0,2019-11-04+10:31:01
,Charlidamelio,2016260,2016260,28987493,381,0,0,2019-11-03+19:28:01
,Charlidamelio,1570472,804,22616530,376,0,0,2019-11-02+13:24:50
