text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
"@imgriffinjohnson “i don’t understand the foryoupage.. i wish i could grow faster, i feel like i disappoint you guys” lmaoooo",1586072634,dixiedamelio,548021487,183,Wraith - Y2K Remix,Ro Ransom,13,1868750,2269,12369595,11239,"[""@imgriffinjohnson""]",[],2020-04-05,15.216811868133112,1
quarantine things @dameliofamilyofficial @marcdamelio @heididamelio @charlidamelio,1586038948,dixiedamelio,548021487,183,BORED IN THE HOUSE,Curtis Roach,11,3803365,13026,18840219,20983,"[""@dameliofamilyofficial"",""@marcdamelio"",""@heididamelio"",""@charlidamelio""]",[],2020-04-04,20.36799041454879,1
hi @imgriffinjohnson,1585619070,dixiedamelio,548021487,183,Topanga,Trippie Redd,15,4424070,31693,25102435,38843,"[""@imgriffinjohnson""]",[],2020-03-30,17.905059807942937,1
i saw some else do this and i was shook🤯🤯🤯🤯🤯 also meet my sister @charlidamelio,1585374766,dixiedamelio,548021487,183,original sound,dixiedamelio,15,3860913,10376,24383981,37677,"[""@charlidamelio""]",[],2020-03-27,16.03087699256327,1
@charlidamelio,1585262981,dixiedamelio,548021487,183,Savage,Megan Thee Stallion,15,6640677,35335,42154258,56505,"[""@charlidamelio""]","[{""id"":""543420"",""name"":""imasavage"",""title"":"""",""cover"":[]}]",2020-03-26,15.97114341331782,1
hi 🥺 @ktifford,1585253585,dixiedamelio,548021487,183,Hobo Johnson preforming on NPR Tiny Desk Concert,_alt.music_,6,2836712,4685,16573515,18722,"[""@ktifford""]",[],2020-03-26,17.25716602663949,1
why u keep calling??? @ktifford,1585238163,dixiedamelio,548021487,183,original sound,thatsayoonick,14,1886995,6152,12018578,14209,"[""@ktifford""]",[],2020-03-26,15.870063829514605,1
it was really a ￼roller coaster ngl,1585203387,dixiedamelio,548021487,183,Hotel Room Service,Pitbull,15,4226760,17634,20571571,25829,[],[],2020-03-25,20.757884752700704,1
i almost went hard,1584991032,dixiedamelio,548021487,183,Savage,Megan Thee Stallion,15,3283852,24802,20973716,25350,[],"[{""id"":""543420"",""name"":""imasavage"",""title"":"""",""cover"":[]}]",2020-03-23,15.896105392101237,1
i think we won this @imgriffinjohnson,1584918169,dixiedamelio,548021487,183,original sound,dixiedamelio,10,5907959,45182,30866463,25047,"[""@imgriffinjohnson""]",[],2020-03-22,19.367907492348575,1
How To: Social distancing,1584855986,dixiedamelio,548021487,183,"Need A Freak (feat. Huncho Da Rockstar, Kblast, Number9ok)",Mighty Bay,8,4751667,18376,27259445,21444,[],[],2020-03-21,17.577346127186374,1
