tiktok_id,username,followers,following,likes,videos,average_engagement_rate,is_generated,date,
"79609045006872576","avani","6248816","4188","336858458","4178","4","1","2019-12-19+23:19:01",
"79609045006872576","avani","6229356","4187","335731327","4176","4","1","2019-12-18+23:19:01",
"","avani","6183460","4173","333077141","4169","2","0","2019-12-17+23:19:01",
"","avani","6209897","4186","334604196","4174","4.26","0","2019-12-17+23:19:01",
"","avani","6157024","4160","331550086","4164","0","0","2019-12-15+05:21:01",
"","avani","6129834","4156","329895745","4159","0","0","2019-12-14+03:07:01",
"","avani","6102645","4153","328241404","4155","0","0","2019-12-13+03:07:01",
"","avani","6073802","4142","326737382","4153","0","0","2019-12-12+01:32:01",
"","avani","6044959","4131","325233360","4152","0","0","2019-12-11+01:32:01",
"","avani","6027465","4129","324473873","4149","0","0","2019-12-10+02:26:01",
"","avani","6009971","4128","323714387","4147","0","0","2019-12-09+02:26:01",
"","avani","5987939","4126","322510193","4145","0","0","2019-12-08+05:06:01",
"","avani","5965908","4125","321306000","4144","0","0","2019-12-07+05:06:01",
"","avani","5947090","4125","319854939","4139","0","0","2019-12-06+05:17:01",
"","avani","5928273","4125","318403878","4135","0","0","2019-12-05+05:17:01",
"","avani","5912525","4118","317331734","4132","1","0","2019-12-04+06:01:47",
"","avani","5896778","4111","316259590","4130","3.59","0","2019-12-03+06:01:47",
"","avani","5871646","4049","313969251","4123","3.91","0","2019-12-01+18:25:01",
"","avani","5857502","4047","312944872","4121","3","0","2019-11-30+22:34:52",
"","avani","5843359","4046","311920494","4120","3.55","0","2019-11-29+22:34:52",
"","avani","5815494","4025","309859906","4114","4.01","0","2019-11-28+06:03:01",
"","avani","5798408","4008","308676262","4115","3","0","2019-11-27+18:21:14",
"","avani","5781322","3991","307492618","4116","3","0","2019-11-26+18:21:14",
"","avani","5764237","3974","306308975","4117","3","0","2019-11-25+18:21:14",
"","avani","5747151","3957","305125331","4119","3","0","2019-11-24+18:21:14",
"","avani","5730066","3940","303941688","4120","3","0","2019-11-23+18:21:14",
"","avani","5712980","3923","302758044","4121","3","0","2019-11-22+18:21:14",
"","avani","5695895","3907","301574401","4123","3.09","0","2019-11-21+18:21:14",
"","avani","5622853","3907","295819289","4109","0","0","2019-11-18+03:48:01",
"","avani","5605180","3871","294589247","4106","0","0","2019-11-17+12:27:55",
"","avani","5587507","3836","293359205","4104","0","0","2019-11-16+12:27:55",
"","avani","5569834","3800","292129163","4102","0","0","2019-11-15+12:27:55",
"","avani","5552161","3765","290899121","4100","0","0","2019-11-14+12:27:55",
"","avani","5534488","3730","289669080","4098","0","0","2019-11-13+12:27:55",
"","avani","5477648","3730","284336800","4085","0","0","2019-11-09+18:42:49",
"","avani","5451825","3730","283060431","4082","0","0","2019-11-08+03:51:01",
"","avani","5441624","3725","282602414","4081","0","0","2019-11-07+16:47:01",
"","avani","5431423","3721","282144397","4080","0","0","2019-11-06+16:47:01",
