text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
@jack.wright @jameswrightt,1583254057,thehypehouse,376697328,219,Take It Easy by Surfaces,thehypehouse,15,611640,2186,5248673,2311,"[""@jack"",""@jameswrightt""]",[],2020-03-03,11.738910006395903,1
JUST SOME TWIN LOVE @jack.wright @jameswrightt,1583202736,thehypehouse,376697328,219,Take It Easy by Surfaces,thehypehouse,12,622510,921,5247851,2073,"[""@jack"",""@jameswrightt""]",[],2020-03-02,11.919240847348753,1
@ondreazlopez_ @tonylopez__,1583038165,thehypehouse,376697328,219,original sound,thehypehouse,17,1275958,3808,7021666,3801,"[""@ondreazlopez_"",""@tonylopez__""]",[],2020-02-29,18.28009193259833,1
we lit @lilhuddy @nickaustinn @avani,1583027561,thehypehouse,376697328,219,#hiteverybeat,lulbabyynelii,9,1819739,10028,10154186,4865,"[""@lilhuddy"",""@nickaustinn"",""@avani""]","[{""id"":""9981"",""name"":""canttouchthis"",""title"":""Some of you might remember the song from way back when ... Can't touch this 😎Try the dance moves too 1,2,3 ... 💃🏾\n\nHow to shoot: \n1. Click the shoot icon. \n2. Click on 'sounds' at the top of your screen and choose the 1st one. \n3. Have fun and don't forget to add #Canttouchthis."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/0deed85a7cce4273666b88b6917718a4""]}]",2020-02-29,18.0677407327382,1
waddup dawg i’m the alpha @lilhuddy @nickaustinn @charlidamelio @bryant,1582943519,thehypehouse,376697328,219,Swish Mike Stud,breexox.edits,9,1953033,11127,14295392,7035,"[""@lilhuddy"",""@nickaustinn"",""@charlidamelio"",""@bryant""]",[],2020-02-28,13.78902376374149,1
@alexwaarren @k0uvr go alligator hunting,1582930706,thehypehouse,376697328,219,original sound,thehypehouse,26,3419965,21176,15372739,9585,"[""@alexwaarren"",""@k0uvr""]",[],2020-02-28,22.447047334895885,1
Thank you all so much for 10 Million! We started the Hype House 10 weeks ago and we’re go grateful! @lilhuddy @addisonre,1582839058,thehypehouse,376697328,219,2liveSoundsmix,2live.d,15,4727444,33319,30681223,31562,"[""@lilhuddy"",""@addisonre""]",[],2020-02-27,15.619732629302293,1
@rylandstormss @nickaustinn @lilhuddy,1582688887,thehypehouse,376697328,219,Follow for good content,flexgod.henry,15,2245923,16369,12744446,15209,"[""@rylandstormss"",""@nickaustinn"",""@lilhuddy""]",[],2020-02-25,17.87053748746709,1
@alexwaarren @k0uvr,1582662414,thehypehouse,376697328,219,original sound,thehypehouse,25,1724204,11236,8239348,7398,"[""@alexwaarren"",""@k0uvr""]",[],2020-02-25,21.15262032869591,1
come my way🥺 @nickaustinn @lilhuddy,1582599358,thehypehouse,376697328,219,Like That,Doja Cat feat. Gucci Mane,9,805672,3895,5704443,3877,"[""@nickaustinn"",""@lilhuddy""]",[],2020-02-24,14.259832204476405,1
