text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
Tooth gem boys @luvanthony @jadenhossler,1574738879,petroutv,208898201,668,original sound,petroutv,14,87812,963,529042,198,"[""@luvanthony"",""@jadenhossler""]",[],2019-11-26,16.81775738032141,0
Wait for it @luvanthony,1574737551,petroutv,208898201,668,original sound,petroutv,15,71374,828,420689,227,"[""@luvanthony""]",[],2019-11-26,17.21675632117788,0
Family,1574715536,petroutv,208898201,668,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,12,212611,3057,1260687,1704,[],[],2019-11-26,17.242344848483405,0
Where's the luv,1574635552,petroutv,208898201,668,original sound,petroutv,15,49936,425,368517,450,[],[],2019-11-25,13.787966362474457,0
Eye love this trend,1574470801,petroutv,208898201,668,Cradles,Sub Urban,15,28083,368,288731,144,[],[],2019-11-23,9.9036819738788,0
My vampire looking ass needs a haircut,1574383204,petroutv,208898201,668,roxanne but she got soft,goalsounds,12,13260,37,157734,77,[],[],2019-11-22,8.478831450416525,0
We're childish @lilhuddy,1574313001,petroutv,208898201,668,original sound,petroutv,8,226796,4685,1059543,1265,"[""@lilhuddy""]",[],2019-11-21,21.966640334559333,0
I love transitions @mads.yo @nickaustinn @rylandstorms11,1574297000,petroutv,208898201,668,roxanne but she got soft,goalsounds,12,32972,169,263129,80,"[""@mads"",""@nickaustinn"",""@rylandstorms11""]",[],2019-11-21,12.62536626521592,0
Low-key flex 😂,1574295813,petroutv,208898201,668,original sound,benito2x,10,9150,25,130712,50,[],[],2019-11-21,7.0575004590244195,0
😂😂,1574282573,petroutv,208898201,668,original sound,petroutv,6,17291,561,124662,124,[],[],2019-11-21,14.419791115175434,0
Should I do more of these?,1574232348,petroutv,208898206,668,gettoknowme,raeraaz.bkz,11,20007,52,192759,124,[],[],2019-11-20,10.47058762496174,0
Transition life,1574212418,petroutv,208898206,668,original sound,shane.emmerson,8,7451,19,119614,39,[],[],2019-11-20,6.277693246609929,0
@zarbruh yours was better,1574192445,petroutv,208898206,668,original sound,picassosocks,28,27596,61,212178,111,"[""@zarbruh""]",[],2019-11-20,13.087124961117553,0
❤️,1574191179,petroutv,208898206,668,original sound,petroutv,9,12585,40,140534,112,[],[],2019-11-20,9.06328717605704,0
Alex likes my puns @alexwaarren,1574136008,petroutv,208898206,668,original sound,petroutv,7,30132,238,208456,71,"[""@alexwaarren""]",[],2019-11-19,14.603081705491809,0
I'm the worst 😂,1574133509,petroutv,208898206,668,original sound,petroutv,11,20799,65,159477,57,[],[],2019-11-19,13.118506116869517,0
I'm so punny @daisykeech,1574106154,petroutv,208898206,668,original sound,petroutv,7,34118,290,898920,128,"[""@daisykeech""]",[],2019-11-19,3.841943665732212,0
Idk how to do this😂,1574022321,petroutv,208898206,668,follow me tehehe,editsbydaddy,8,10001,17,123820,56,[],[],2019-11-18,8.136003876595058,0
Idk what I'm doing,1574021009,petroutv,208898206,668,New Flesh,Current Joys,15,8010,14,106007,46,[],[],2019-11-18,7.612704821379721,0
@luvanthony,1574019862,petroutv,208898206,668,Falling,Trevor Daniel,15,18987,51,158460,84,"[""@luvanthony""]",[],2019-11-18,12.067398712608862,0
Comatose @lilhuddy,1573861021,petroutv,208898206,668,original sound,petroutv,10,64236,1701,336360,393,"[""@lilhuddy""]",[],2019-11-16,19.71994291830182,0
I couldn't stay serious😂 @lilhuddy,1573852118,petroutv,208898206,668,Yellow Hearts,emiandlex,15,105917,2200,577080,553,"[""@lilhuddy""]",[],2019-11-16,18.831011298260204,0
C'man @luvanthony,1573769537,petroutv,208898206,668,Bitch,sädëditś877,9,45195,418,282827,175,"[""@luvanthony""]",[],2019-11-15,16.18940200193051,0
Welp didn't expect that @lilhuddy,1573758383,petroutv,208898206,668,original sound,petroutv,8,187881,6386,848806,949,"[""@lilhuddy""]",[],2019-11-15,22.998894918273432,0
First it was Anthony. Now I had to sleep on the counter 🥺,1573753245,petroutv,208898206,668,original sound,madismif,7,23690,87,175238,81,[],[],2019-11-15,13.614626964471178,0
Cleanest transitions in the game @avani @luvanthony @lilhuddy @ameliezilber,1573714576,petroutv,208898206,668,Coffee Breath,Sofia Mills,14,76849,1351,423496,252,"[""@avani"",""@luvanthony"",""@lilhuddy"",""@ameliezilber""]",[],2019-11-14,18.524850293745395,0
Should I make more of these?,1573693611,petroutv,208898206,668,original sound,𝙎𝙖𝙪𝙢𝙮𝙖ッ,9,10477,32,123864,104,[],[],2019-11-14,8.568268423432151,0
Transition King Thomas,1573693290,petroutv,208898206,668,Shining on My Ex,bbno$ & yung gravy,14,6509,18,100673,48,[],[],2019-11-14,6.5310460600160924,0
Don't,1573692610,petroutv,208898206,668,Don't,Bryson Tiller,8,9569,12,109462,47,[],[],2019-11-14,8.795746469094299,0
